YEAR;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Rk;Age;W%;L%;PW;PL;MOV;SOS;ORtg;DRtg;Pace;FTr;3PAr;TS%;OFeFG%;OfTOV%;ORB%;Of FT/FGA;DEFeFG%;DefTOV%;DRB%;Def FT/FGA;Arena;Attend.;Champion
95-96;Portland Trail Blazers*;82;242.7;37.4;81.6;45.8;5.9;16.6;35.3;31.5;65.0;48.5;18.7;28.3;66.2;14.1;31.4;45.6;21.5;7.2;5.1;16.8;22.7;99.3;10;28.1;0.536585366;0.463414634;0.585365854;0.414634146;2.35;-0.14;106.0;103.5;92.6;347;203;52.8;49.4;15.2;33.4;230;47.8;13.5;73.4;236;Rose Garden Arena;848.055;0
84-85;Portland Trail Blazers*;82;242.4;45.2;89.9;50.3;0.6;2.5;25.2;44.6;87.5;51;24.4;32.5;75.1;14.7;28.0;42.7;27.1;10.0;6.3;18.1;23.9;115.5;5;25.2;0.512195122;0.487804878;0.597560976;0.402439024;3.40;-0.60;110.4;107.2;103.5;362;27;55.4;50.6;14.8;34.0;271;49.7;15.9;64.4;232;Memorial Coliseum;519.306;0
16-17;Portland Trail Blazers*;82;243.0;39.5;86.1;45.9;10.4;27.7;37.5;29.2;58.4;49.9;18.5;23.7;78;10.1;33.5;43.7;21.1;7.0;5.0;13.7;21.2;107.9;18;24.8;0.5;0.5;0.487804878;0.512195122;-0.52;0.30;110.3;110.8;96.7;275;322;55.9;52;12.5;23.0;214;50.8;11.6;76.8;241;Moda Center;792.029;0
85-86;Portland Trail Blazers*;82;242.1;44.0;88.8;49.6;0.9;3.4;26.9;43.1;85.4;50.5;26.1;34.1;76.5;14.1;28.2;42.3;26.6;10.5;4.3;18.6;26.9;115.1;10;26.6;0.487804878;0.512195122;0.536585366;0.463414634;01.06;-0.45;109.2;108.2;104.5;384;38;55.4;50.1;15.2;32.8;294;50.7;16.4;66.3;275;Memorial Coliseum;519.306;0
88-89;Portland Trail Blazers*;82;241.8;45.1;95.1;47.4;2.6;7.9;33.5;42.4;87.2;48.7;21.8;29.5;74;16.9;29.0;45.9;27.0;10.1;4.7;17.5;24.7;114.6;13;26.9;0.475609756;0.524390244;0.548780488;0.451219512;1.46;-0.55;109.4;108.0;103.9;310;83;53;48.8;13.9;36.7;230;50.1;15.7;67.4;264;Memorial Coliseum;527.008;0
19-20;Portland Trail Blazers*;74;241.0;42.2;91.2;46.3;12.9;34.1;37.7;29.3;57.1;51.4;17.7;22.1;80.4;10.2;35.1;45.3;20.6;6.3;6.1;12.8;21.7;115.0;19;27.5;0.472972973;0.527027027;0.459459459;0.540540541;-1.15;0.54;113.7;114.8;100.7;242;374;57;53.3;11.2;22.4;194;53;11.2;75.3;208;Moda Center;628.303;0
79-80;Portland Trail Blazers*;82;241.2;41.6;87.4;47.6;0.3;1.6;19.7;41.2;85.8;48.1;19.0;25.6;74.3;15.8;29.4;45.2;23.1;8.6;5.8;18.9;23.9;102.5;13;26.3;0.463414634;0.536585366;0.475609756;0.524390244;-0.82;-0.05;103.4;104.3;98.6;293;18;51.9;47.7;16.1;35.5;218;48.2;15.3;67.9;245;Memorial Coliseum;;0
18-19;Sacramento Kings;82;240.6;43.2;93.1;46.4;11.3;29.9;37.8;31.9;63.2;50.4;16.5;22.7;72.6;11.0;34.4;45.4;25.4;8.3;4.4;13.4;21.4;114.2;18;24.8;0.475609756;0.524390244;0.463414634;0.536585366;-1.12;0.31;110.4;111.5;103.1;244;321;55.4;52.4;11.5;23.1;177;53.3;13.6;75.5;207;Golden 1 Center;700.975;0
94-95;Sacramento Kings;82;242.1;36.9;78.8;46.8;4.4;12.6;34.6;32.5;66.2;49.1;20.1;28.3;71.1;13.1;28.4;41.4;22.2;7.9;5.6;17.7;24.9;98.2;16;26.4;0.475609756;0.524390244;0.463414634;0.536585366;-1.00;0.26;105.5;106.5;92.3;359;160;53.8;49.6;16.2;32.1;255;48.1;15.0;67.0;280;ARCO Arena (II);709.997;0
07-08;Sacramento Kings;82;241.8;37.1;80.0;46.4;6.2;16.7;37.3;30.9;63.3;48.8;22.1;27.7;79.8;10.1;30.0;40.1;19.1;7.9;4.1;16.1;22.4;102.5;20;27.3;0.463414634;0.536585366;0.426829268;0.573170732;-2.26;0.40;107.5;109.9;94.7;346;208;55.6;50.3;14.8;25.2;276;51;13.9;71.7;256;ARCO Arena (II);580.181;0
19-20;Sacramento Kings;72;242.4;40.9;88.4;46.2;12.7;34.9;36.4;28.2;53.5;52.7;15.7;20.3;77;9.7;32.9;42.6;23.8;7.7;4.1;14.5;22.2;110.1;21;27.0;0.430555556;0.569444444;0.430555556;0.569444444;-2.04;0.46;110.2;112.2;98.9;230;395;56.6;53.4;13.0;21.9;177;54.3;13.6;78.4;225;Golden 1 Center;520.663;0
20-21;Sacramento Kings;72;240.3;42.6;88.6;48.1;12.1;33.3;36.4;30.5;55.3;55.1;16.4;22.0;74.5;9.4;32.0;41.4;25.5;7.5;5.0;13.4;19.4;113.7;24;25.6;0.430555556;0.569444444;0.388888889;0.611111111;-3.68;0.23;113.6;117.2;100.0;248;376;57.8;54.9;12.0;21.3;185;55.7;12.1;75.0;199;Golden 1 Center;;0
96-97;Sacramento Kings;82;242.1;36.6;80.6;45.4;5.0;12.9;39.1;31.5;67.7;46.6;18.2;25.2;72.3;13.4;28.1;41.5;21.9;7.2;4.4;16.2;23.7;96.4;21;27.4;0.414634146;0.585365854;0.37804878;0.62195122;-3.38;-0.26;105.0;108.7;91.0;313;160;52.6;48.5;15.0;32.0;226;49.5;14.3;68.5;264;ARCO Arena (II);709.993;0
06-07;Sacramento Kings;82;241.5;35.9;79.7;45;6.5;18.5;35;29.4;61.2;48;23.1;30.2;76.5;9.7;29.2;38.9;20.3;8.2;3.2;14.6;21.9;101.3;19;27.3;0.402439024;0.597560976;0.43902439;0.56097561;-1.80;0.46;106.2;108.0;94.8;379;232;54.5;49.1;13.5;23.1;289;51.3;14.9;72.5;240;ARCO Arena (II);709.997;0
15-16;Sacramento Kings;82;241.5;40.0;86.4;46.4;8.0;22.4;35.9;32.0;64.0;50;18.5;25.5;72.5;10.6;33.7;44.2;24.5;8.9;4.5;16.2;20.4;106.6;20;26.6;0.402439024;0.597560976;0.414634146;0.585365854;-2.48;0.16;106.0;108.4;100.0;295;260;54.6;51;14.2;23.9;214;52.1;14.0;74.9;202;Sleep Train Arena;707.526;0
16-17;Sacramento Kings;82;242.4;37.9;82.1;46.1;9.0;23.9;37.6;28.9;58.2;49.6;18.1;23.3;77.5;8.7;32.3;41.1;22.5;7.6;4.0;14.6;20.3;102.8;25;27.9;0.390243902;0.609756098;0.37804878;0.62195122;-3.88;0.58;107.3;111.3;94.9;284;291;55.6;51.6;13.7;21.0;220;52.8;12.9;76.3;227;Golden 1 Center;721.928;0
21-22;Sacramento Kings;82;241.5;40.5;88.1;46;11.4;33.2;34.4;29.1;54.9;53;17.9;23.3;76.8;9.6;33.4;42.9;23.7;7.2;4.5;14.1;18.9;110.3;25;25.8;0.365853659;0.634146341;0.341463415;0.658536585;-5.46;0.2;109.9;115.3;99.8;264;377;56.1;52.5;12.5;21.3;203;55.1;11.9;76;176;Golden 1 Center;577,583;0
14-15;Sacramento Kings;82;242.1;36.7;80.7;45.5;5.6;16.5;34.1;31.1;64.2;48.4;22.3;29.3;76.2;10.9;33.3;44.2;20.3;6.7;4.0;16.3;20.7;101.3;25;26.0;0.353658537;0.646341463;0.37804878;0.62195122;-3.71;0.64;105.3;109.2;95.4;363;204;54.2;49;14.8;26.5;276;50.7;11.8;75.2;200;Sleep Train Arena;680.049;0
86-87;Sacramento Kings;82;241.2;43.0;90.4;47.5;0.9;3.7;25.1;42.0;86.7;48.5;24.1;30.2;79.6;15.6;29.8;45.4;26.6;6.3;4.8;17.1;24.5;110.9;18;26.3;0.353658537;0.646341463;0.402439024;0.597560976;-3.22;-0.12;108.9;112.1;101.3;334;41;53.5;48;14.2;35.2;266;49.8;12.4;67.8;257;ARCO Arena (I);423.653;0
91-92;Sacramento Kings;82;241.8;40.8;87.7;46.6;2.9;8.2;35.3;37.9;79.4;47.7;19.7;26.4;74.7;12.9;28.7;41.6;23.9;8.9;7.5;16.6;21.5;104.3;23;25.1;0.353658537;0.646341463;0.317073171;0.682926829;-6.06;0.44;103.9;109.9;99.6;301;94;52.5;48.2;14.3;28.5;225;49.3;13.9;64.2;233;ARCO Arena (II);697.574;0
12-13;Sacramento Kings;82;241.8;37.6;84.2;44.7;7.4;20.5;36.3;30.2;63.7;47.4;17.5;22.8;76.9;11.5;29.1;40.6;20.8;8.2;4.2;14.6;20.9;100.2;27;25.6;0.341463415;0.658536585;0.341463415;0.658536585;-4.88;0.62;106.2;111.4;93.6;271;243;53.2;49.1;13.4;26.6;208;51.7;13.6;71.0;227;Sleep Train Arena;563.743;0
13-14;Sacramento Kings;82;241.8;36.9;82.5;44.7;6.0;18.0;33.3;30.9;64.5;47.9;20.7;27.3;75.9;12.1;32.4;44.5;18.9;7.2;3.9;15.2;22.5;100.5;22;24.9;0.341463415;0.658536585;0.402439024;0.597560976;-2.90;0.82;105.7;108.8;94.4;331;218;53.2;48.4;13.9;27.8;251;51.2;12.7;76.6;234;Sleep Train Arena;667.949;0
93-94;Sacramento Kings;82;240.9;38.8;85.7;45.2;3.1;8.9;35.3;35.6;76.8;46.4;20.4;28.0;73.1;13.7;28.6;42.3;24.7;8.2;4.3;16.3;24.1;101.1;21;26.7;0.341463415;0.658536585;0.317073171;0.682926829;-5.77;0.44;103.3;109.2;97.5;326;104;51.6;47.1;14.2;30.4;239;49.9;14.2;66.4;252;ARCO Arena (II);710.497;0
11-12;Sacramento Kings;66;241.1;37.7;86.5;43.6;6.2;19.7;31.6;31.5;66.8;47.1;17.1;23.2;73.6;13.4;29.5;42.9;19.3;8.5;4.9;14.4;19.5;98.8;27;24.3;0.333333333;0.666666667;0.318181818;0.681818182;-5.68;0.73;103.8;109.8;94.7;268;228;51;47.2;13.0;29.1;197;51.5;13.9;70.5;199;Power Balance Pavilion;478.764;0
17-18;Sacramento Kings;82;240.9;38.8;86.1;45;9.0;24.0;37.5;29.8;62.1;47.9;12.3;16.7;73.5;9.5;31.4;40.9;21.6;7.8;4.1;13.7;20.0;98.8;29;26.4;0.329268293;0.670731707;0.280487805;0.719512195;-6.99;0.39;103.7;111.1;94.9;194;278;52.9;50.2;12.8;21.5;143;54.2;13.5;77.6;199;Golden 1 Center;714.68;0
88-89;Sacramento Kings;82;241.2;41.0;89.6;45.7;3.7;10.0;37.3;37.3;79.6;46.8;19.8;25.7;77;13.9;29.9;43.8;24.0;7.6;5.0;16.7;22.9;105.5;20;25.2;0.329268293;0.670731707;0.329268293;0.670731707;-5.55;0.20;104.5;110.0;100.5;286;112;52.3;47.8;14.2;30.5;220;49.6;13.2;67.7;235;ARCO Arena (II);677.197;0
97-98;Sacramento Kings;82;240.6;36.1;81.5;44.2;3.5;9.8;35.1;32.6;71.7;45.5;17.6;25.6;68.7;13.3;28.1;41.4;22.4;7.3;5.1;15.5;22.1;93.1;23;26.6;0.329268293;0.670731707;0.304878049;0.695121951;-5.59;-0.25;100.8;106.9;92.1;314;121;50.2;46.4;14.3;30.2;215;48.2;14.0;66.6;230;ARCO Arena (II);605.443;0
09-10;Sacramento Kings;82;242.4;38.3;84.1;45.6;5.9;16.9;34.9;32.5;67.2;48.3;17.4;24.0;72.6;11.9;30.7;42.6;20.5;6.9;4.5;15.0;22.3;100.0;25;24.1;0.304878049;0.695121951;0.353658537;0.646341463;-4.37;0.30;105.3;109.9;94.0;286;201;52.8;49.1;13.6;27.8;207;50.5;12.6;73.5;244;Power Balance Pavilion;543.416;0
90-91;Sacramento Kings;82;240.3;37.6;83.1;45.3;2.6;7.0;37.4;35.0;76.1;46;18.8;25.7;73.2;12.5;27.0;39.6;24.3;7.7;6.3;15.5;25.3;96.7;26;25.9;0.304878049;0.695121951;0.280487805;0.719512195;-6.78;0.51;102.0;109.1;94.7;309;85;51.2;46.8;14.1;28.8;226;48.1;14.3;65.6;306;ARCO Arena (II);697.604;0
92-93;Sacramento Kings;82;241.2;41.0;88.6;46.3;3.2;9.6;33.2;37.8;79.0;47.8;22.7;29.8;76.2;13.9;27.8;41.7;25.3;9.4;4.2;16.6;25.4;107.9;22;26.5;0.304878049;0.695121951;0.402439024;0.597560976;-3.17;0.17;106.5;109.6;100.8;337;108;53;48.1;14.1;30.7;257;50.2;15.1;66.7;292;ARCO Arena (II);709.997;0
10-11;Sacramento Kings;82;242.1;38.2;85.1;44.9;5.2;15.6;33.5;33.0;69.5;47.5;17.7;24.2;73.4;13.1;30.8;43.9;20.4;7.4;4.8;16.1;22.0;99.4;25;24.8;0.292682927;0.707317073;0.329268293;0.670731707;-5.34;0.54;103.5;109.0;95.2;284;183;51.9;48;14.4;29.9;208;51.3;13.5;74.4;233;Power Balance Pavilion;569.496;0
87-88;Sacramento Kings;82;241.2;42.2;89.5;47.1;1.8;5.5;32;40.4;84.0;48.1;21.9;28.3;77.2;15.0;30.0;45.0;25.8;7.1;6.0;17.8;23.1;108.0;20;26.1;0.292682927;0.707317073;0.329268293;0.670731707;-5.76;-0.08;106.5;112.1;100.9;317;61;53;48.1;14.8;33.7;245;50.6;12.3;68.1;237;ARCO Arena (I);423.653;0
89-90;Sacramento Kings;82;240.9;40.3;86.0;46.8;2.6;7.9;33.3;37.7;78.1;48.2;18.5;24.0;77.1;11.6;28.8;40.4;25.0;6.7;4.8;15.1;22.7;101.7;23;26.4;0.280487805;0.719512195;0.341463415;0.658536585;-5.06;0.65;104.8;110.0;96.7;278;92;52.7;48.4;13.5;27.3;215;48.4;12.5;67.3;255;ARCO Arena (II);697.667;0
08-09;Sacramento Kings;82;242.7;36.5;81.5;44.7;7.1;19.4;36.8;29.3;62.1;47.2;20.5;25.7;79.8;10.2;28.9;39.1;19.7;6.9;4.3;15.4;23.3;100.6;29;26.3;0.207317073;0.792682927;0.231707317;0.768292683;-8.76;0.16;105.5;114.7;94.2;315;238;54.2;49.1;14.3;24.5;252;52.6;13.0;69.9;269;ARCO Arena (II);520.169;0
01-02;Sacramento Kings*;82;240.9;39.8;85.4;46.7;5.2;14.1;36.7;34.6;71.3;48.6;19.7;26.3;75.1;12.4;33.0;45.3;23.9;9.0;4.6;13.8;19.0;104.6;1;27.0;0.743902439;0.256097561;0.743902439;0.256097561;7.61;0.00;109.0;101.1;95.6;308;166;53.9;49.7;12.4;27.9;231;46.7;13.6;71.7;185;ARCO Arena (II);709.997;0
02-03;Sacramento Kings*;82;241.8;39.5;85.2;46.4;6.0;15.7;38.1;33.5;69.5;48.2;16.7;22.3;74.6;11.0;33.5;44.5;24.8;9.0;5.6;14.5;20.3;101.7;2;28.3;0.719512195;0.280487805;0.719512195;0.280487805;6.50;0.18;105.9;99.1;95.4;262;184;53.5;49.9;13.3;25.6;196;44.6;13.6;70.6;204;ARCO Arena (II);709.997;0
00-01;Sacramento Kings*;82;244.9;38.2;85.0;44.9;5.8;16.5;35.4;32.4;68.5;47.2;19.5;25.3;77.1;12.0;33.0;45.0;22.6;9.7;5.3;14.9;19.5;101.7;2;27.1;0.670731707;0.329268293;0.695121951;0.304878049;5.82;0.25;105.6;99.6;94.4;298;194;52.9;48.4;13.4;27.2;230;46;14.5;70.7;181;ARCO Arena (II);709.997;0
03-04;Sacramento Kings*;82;241.2;37.8;81.8;46.2;7.3;18.3;40.1;30.5;63.6;48;19.8;24.9;79.5;10.8;30.4;41.2;26.2;8.7;4.0;13.9;19.3;102.8;5;29.3;0.670731707;0.329268293;0.670731707;0.329268293;05.01;0.40;110.3;104.9;92.8;305;223;55.4;50.7;13.0;26.0;242;48.3;13.7;69.8;193;ARCO Arena (II);709.997;0
04-05;Sacramento Kings*;82;242.1;39.1;85.1;45.9;6.4;17.0;37.4;32.7;68.1;48;19.2;24.4;78.7;12.5;29.9;42.4;24.5;8.2;3.9;13.1;20.5;103.7;9;27.7;0.609756098;0.390243902;0.573170732;0.426829268;2.16;0.40;110.5;108.2;93.0;287;200;54.1;49.6;12.0;28.8;226;49.3;13.3;69.0;214;ARCO Arena (II);709.997;0
98-99;Sacramento Kings*;50;244.0;38.4;86.1;44.5;5.8;18.9;30.8;32.6;67.3;48.4;17.7;25.9;68.3;14.1;31.5;45.6;22.6;8.9;4.6;16.8;20.3;100.2;17;26.1;0.54;0.46;0.48;0.52;-0.42;-0.47;102.7;103.1;96.0;300;219;51.4;47.9;14.7;30.6;205;47.1;13.7;67.7;176;ARCO Arena (II);418.751;0
05-06;Sacramento Kings*;82;241.8;36.0;79.3;45.4;6.0;17.2;35.1;30.0;62.1;48.3;20.8;26.5;78.4;10.4;30.2;40.5;22.3;7.4;3.6;14.6;20.4;98.9;11;27.2;0.536585366;0.463414634;0.548780488;0.451219512;1.54;0.07;106.7;105.0;91.9;334;217;54.4;49.2;13.9;25.4;262;48.8;13.7;72.2;210;ARCO Arena (II);709.997;0
99-00;Sacramento Kings*;82;241.5;40.0;88.9;45;6.5;20.2;32.2;33.4;68.7;48.7;18.5;24.6;75.4;12.9;32.1;45.0;23.8;9.6;4.6;16.2;21.1;105.0;8;27.5;0.536585366;0.463414634;0.597560976;0.402439024;2.91;0.12;105.0;102.1;99.3;277;227;52.6;48.6;13.9;27.7;209;47.9;15.1;69.7;198;ARCO Arena (II);720.033;0
95-96;Sacramento Kings*;82;240.9;36.2;79.2;45.7;5.6;14.6;38.7;30.6;64.6;47.3;21.5;29.4;73.1;13.6;28.6;42.2;22.3;7.8;5.3;17.6;26.0;99.5;20;26.6;0.475609756;0.524390244;0.402439024;0.597560976;-2.71;0.09;106.2;109.1;93.4;371;184;54;49.3;16.0;32.5;271;49.8;15.1;69.0;302;ARCO Arena (II);709.999;0
85-86;Sacramento Kings*;82;241.2;43.1;88.0;49;0.4;1.6;22.4;42.8;86.4;49.5;22.2;28.5;77.8;13.8;29.0;42.8;28.1;7.3;4.7;18.7;26.0;108.8;18;26.6;0.451219512;0.548780488;0.402439024;0.597560976;-3.07;-0.12;106.2;109.2;102.0;324;19;54.1;49.2;15.7;32.7;252;49.9;14.4;67.5;273;ARCO Arena (I);423.653;0
20-21;San Antonio Spurs;72;242.8;41.9;90.5;46.2;9.9;28.4;35;31.9;62.1;51.4;17.4;22.0;79.2;9.3;34.6;43.9;24.4;7.0;5.1;11.4;18.0;111.1;21;26.2;0.458333333;0.541666667;0.444444444;0.555555556;-1.74;0.15;111.0;112.8;98.9;243;314;55.4;51.7;10.2;20.0;192;54.1;11.8;77.3;174;AT&T Center;61.053;0
83-84;San Antonio Spurs;82;243.7;47.7;94.2;50.6;1.0;3.2;30;46.7;91.0;51.4;24.0;31.8;75.5;15.0;30.8;45.8;28.8;8.4;6.0;17.6;26.2;120.3;13;27.4;0.451219512;0.548780488;0.487804878;0.512195122;-0.27;-0.23;111.2;111.4;106.5;337;34;55.6;51.1;14.0;33.4;255;50.8;13.7;66.2;233;HemisFair Arena;375.9;0
19-20;San Antonio Spurs;71;242.5;42.2;89.4;47.2;10.7;28.5;37.6;31.5;61.0;51.6;19.0;23.4;81;9.0;35.6;44.6;24.7;7.3;5.5;12.6;19.4;114.1;17;27.6;0.450704225;0.549295775;0.464788732;0.535211268;-1.11;0.46;112.4;113.5;100.5;262;318;57.2;53.1;11.2;20.1;212;54.2;11.7;79.2;193;AT&T Center;550.515;0
21-22;San Antonio Spurs;82;241.5;43.2;92.7;46.7;11.3;32;35.2;32;60.7;52.7;15.4;20.4;75.4;11;34.3;45.3;27.9;7.6;4.9;12.7;18.1;113.2;17;24.5;0.414634146;0.585365854;0.5;0.5;0.12;-0.1;112.4;112.3;100;220;345;55.6;52.7;11.1;23.7;166;53.2;12.1;75.1;176;AT&T Center;615,588;0
86-87;San Antonio Spurs;82;241.5;43.1;90.9;47.4;1.4;4.9;29;41.6;86.0;48.4;20.7;28.0;74.2;15.7;28.6;44.3;27.1;9.6;4.0;17.1;23.5;108.3;21;27.1;0.341463415;0.658536585;0.341463415;0.658536585;-5.10;0.01;105.9;110.8;101.7;307;54;52.5;48.2;14.2;34.3;228;51.4;14.5;68.1;244;HemisFair Arena;341.132;0
88-89;San Antonio Spurs;82;240.9;42.3;90.4;46.8;0.8;3.6;21.5;41.5;86.8;47.9;20.1;28.9;69.8;15.8;26.6;42.4;24.8;11.7;5.2;20.9;26.3;105.5;22;25.6;0.256097561;0.743902439;0.280487805;0.719512195;-7.28;-0.17;100.9;107.9;104.1;319;40;51.2;47.2;16.8;34.5;223;50;17.2;63.5;294;HemisFair Arena;323.573;0
96-97;San Antonio Spurs;82;240.6;34.5;77.9;44.2;4.6;14.4;32;29.9;63.5;47;16.9;23.5;71.9;13.4;26.0;39.4;20.3;7.9;5.3;15.2;21.5;90.5;28;29.9;0.243902439;0.756097561;0.231707317;0.768292683;-7.88;-0.05;103.3;112.3;87.3;302;185;51.2;47.2;14.7;32.4;217;51.4;14.0;67.0;236;Alamodome;706.641;0
15-16;San Antonio Spurs*;82;240.3;40.1;82.9;48.4;7.0;18.5;37.5;33.2;64.4;51.5;16.4;20.4;80.3;9.4;34.5;43.9;24.5;8.3;5.9;13.1;17.5;103.5;1;30.3;0.817073171;0.182926829;0.817073171;0.182926829;10.63;-0.36;110.3;99.0;93.8;246;223;56.4;52.6;12.4;23.0;197;47.7;14.1;79.1;182;AT&T Center;756.445;0
05-06;San Antonio Spurs*;82;241.5;36.5;77.3;47.2;6.4;16.6;38.5;30.1;60.7;49.6;16.2;23.1;70.2;10.4;31.1;41.5;20.9;6.6;5.7;13.7;20.9;95.6;1;29.8;0.768292683;0.231707317;0.743902439;0.256097561;6.82;-0.13;107.3;99.6;88.5;298;215;54.6;51.3;13.6;26.0;209;45.7;13.5;74.2;220;SBC Center;770.677;0
11-12;San Antonio Spurs*;66;241.5;39.6;82.8;47.8;8.4;21.3;39.3;31.2;61.5;50.7;16.2;21.6;74.8;10.3;32.6;43.0;23.2;7.4;4.4;13.6;17.3;103.7;2;27.5;0.757575758;0.242424242;0.727272727;0.272727273;7.17;0.11;110.9;103.2;92.9;261;257;56.2;52.8;12.8;25.1;195;48.9;12.9;76.0;168;AT&T Center;607.095;0
94-95;Houston Rockets*;82;240.6;38.5;80.2;48;7.9;21.4;36.8;30.6;58.8;52.1;18.6;24.9;74.9;10.7;29.8;40.5;25.1;8.8;6.3;16.1;20.9;103.5;11;28.5;0.573170732;0.426829268;0.573170732;0.426829268;2.12;0.20;109.7;107.4;94.2;310;267;56.8;52.9;15.0;26.9;232;48.9;13.9;67.7;199;The Summit;653.389;1
94-95;San Antonio Spurs*;82;242.1;39.5;81.5;48.4;5.3;14.1;37.5;34.2;67.4;50.7;22.4;30.3;73.8;12.5;32.5;45.0;23.4;8.0;5.6;15.2;22.8;106.6;4;29.0;0.756097561;0.243902439;0.695121951;0.304878049;5.96;-0.06;111.7;105.4;94.6;372;173;56.2;51.6;13.8;30.9;275;48.5;13.0;72.3;214;Alamodome;920.413;0
10-11;San Antonio Spurs*;82;241.2;38.4;80.8;47.5;8.4;21.1;39.7;30.0;59.8;50.3;18.5;24.2;76.7;10.1;31.7;41.9;22.4;7.3;4.5;13.4;19.0;103.7;4;28.8;0.743902439;0.256097561;0.682926829;0.317073171;5.71;0.16;111.8;105.6;92.3;299;261;56.7;52.7;12.8;24.9;229;49.1;12.6;74.6;190;AT&T Center;750.879;0
16-17;San Antonio Spurs*;82;241.5;39.3;83.7;46.9;9.2;23.5;39.1;30.1;60.2;50;17.6;22.0;79.7;10.0;33.9;43.9;23.8;8.0;5.9;13.4;18.3;105.3;2;29.6;0.743902439;0.256097561;0.731707317;0.268292683;7.20;-0.06;111.1;103.5;94.2;263;281;56.4;52.4;12.6;24.0;210;49.2;13.5;77.6;192;AT&T Center;755.347;0
95-96;Chicago Bulls*;82;240.6;40.2;84.0;47.8;6.6;16.5;40.3;33.5;67.6;49.6;18.2;24.4;74.6;15.2;29.4;44.6;24.8;9.1;4.2;14.3;22.0;105.2;1;29.9;0.87804878;0.12195122;0.853658537;0.146341463;12.24;-0.44;115.2;101.8;91.1;291;196;55.5;51.7;13.1;36.9;217;48.2;16.1;71.1;222;United Center;969.149;1
96-97;Chicago Bulls*;82;240.6;40.0;84.4;47.3;6.4;17.1;37.3;33.6;67.3;49.9;16.8;22.5;74.7;15.1;30.0;45.1;26.1;8.7;4.0;13.5;19.7;103.1;1;30.7;0.841463415;0.158536585;0.829268293;0.170731707;10.80;-0.11;114.4;102.4;90.0;267;203;54.7;51.1;12.5;35.9;199;47.1;14.8;69.3;196;United Center;978.457;1
97-98;Chicago Bulls*;82;242.1;37.4;82.9;45.1;3.8;11.7;32.3;33.6;71.2;47.1;18.2;24.5;74.3;15.2;29.7;44.9;23.8;8.5;4.3;14.4;20.6;96.7;3;31.7;0.756097561;0.243902439;0.743902439;0.256097561;7.11;0.13;107.7;99.8;89.0;295;141;51.6;47.3;13.3;35.7;219;45.7;14.7;70.6;220;United Center;983.444;1
95-96;San Antonio Spurs*;82;241.2;38.4;80.5;47.7;6.3;16.1;39.2;32.1;64.4;49.8;20.3;27.6;73.6;11.4;31.5;43.0;24.9;7.9;6.5;14.6;22.2;103.4;4;29.4;0.719512195;0.280487805;0.707317073;0.292682927;6.30;-0.33;110.2;103.5;93.3;342;200;55.8;51.6;13.6;27.5;252;47.2;13.9;70.0;216;Alamodome;782.701;0
12-13;San Antonio Spurs*;82;242.4;39.1;81.4;48.1;8.1;21.5;37.6;31.1;59.9;51.9;16.6;21.0;79.1;8.1;33.2;41.3;25.1;8.5;5.4;14.7;17.4;103.0;4;28.6;0.707317073;0.292682927;0.707317073;0.292682927;6.40;0.27;108.3;101.6;94.2;258;264;56.8;53.1;14.0;20.5;204;48;13.7;74.9;179;AT&T Center;755.7;0
00-01;San Antonio Spurs*;82;241.8;35.2;76.4;46.1;5.4;13.3;40.7;29.7;63.0;47.2;20.4;28.5;71.5;11.0;33.1;44.1;21.7;6.9;7.0;14.0;18.9;96.2;1;29.5;0.707317073;0.292682927;0.768292683;0.231707317;7.76;0.16;106.6;98.0;89.6;374;175;54.1;49.6;13.6;27.1;267;44.4;12.9;73.7;182;Alamodome;913.176;0
01-02;San Antonio Spurs*;82;242.1;35.5;77.6;45.8;5.3;14.8;36.2;30.2;62.8;48;20.3;27.4;74.2;11.1;31.3;42.4;20.0;7.6;6.5;14.4;19.2;96.7;3;28.5;0.707317073;0.292682927;0.719512195;0.280487805;6.21;0.07;106.5;99.7;90.0;353;190;53.9;49.2;13.8;27.2;262;45.3;13.7;71.9;189;Alamodome;906.39;0
98-99;San Antonio Spurs*;50;241.5;34.8;76.2;45.6;3.4;10.4;33;31.4;65.8;47.6;19.8;28.3;69.8;12.3;31.7;44.0;22.0;8.4;7.0;15.2;20.2;92.8;1;30.1;0.74;0.26;0.78;0.22;08.06;-0.94;104.0;95.0;88.6;371;137;52.3;47.9;14.6;30.4;259;42.3;13.8;69.5;198;Alamodome;527.357;1
03-04;San Antonio Spurs*;82;240.9;34.7;78.5;44.2;5.0;13.9;35.8;29.7;64.6;46;17.2;25.2;68.1;12.5;32.5;45.1;20.4;8.1;6.5;14.7;20.3;91.5;1;27.3;0.695121951;0.304878049;0.756097561;0.243902439;7.22;0.29;102.2;94.1;89.2;322;177;51.1;47.3;14.1;29.5;219;43.3;14.8;74.6;215;SBC Center;739.706;0
